t,hour_of_day,weekday,date,pnl
2026-03-07 13:32:09.346000+00:00,13,Saturday,2026-03-07,-0.06960724949118643
2026-03-07 13:32:17.420000+00:00,13,Saturday,2026-03-07,-0.19796327410399925
2026-03-07 13:34:27.029000+00:00,13,Saturday,2026-03-07,-0.7374793637087877
2026-03-07 13:32:09.346000+00:00,13,Saturday,2026-03-07,-0.30292077446397697
2026-03-07 13:32:09.346000+00:00,13,Saturday,2026-03-07,-0.3612073103832042
2026-03-07 13:32:17.420000+00:00,13,Saturday,2026-03-07,-0.28212940000000875
2026-03-07 13:32:40.757000+00:00,13,Saturday,2026-03-07,-0.45835005980798704
2026-03-07 13:32:17.420000+00:00,13,Saturday,2026-03-07,-0.29019434065438954
2026-03-07 13:34:10.242000+00:00,13,Saturday,2026-03-07,-0.10920627765600127
2026-03-07 13:36:18.560000+00:00,13,Saturday,2026-03-07,-0.09823415457920066
2026-03-07 13:36:27.727000+00:00,13,Saturday,2026-03-07,-0.13097254801677652
2026-03-07 13:35:18.177000+00:00,13,Saturday,2026-03-07,-0.09483157724797439
2026-03-07 13:35:18.177000+00:00,13,Saturday,2026-03-07,-0.40998359999995804
2026-03-07 13:35:18.746000+00:00,13,Saturday,2026-03-07,-0.32277000974401826
2026-03-07 13:38:24.546000+00:00,13,Saturday,2026-03-07,-0.19993958060799516
2026-03-07 13:38:29.618000+00:00,13,Saturday,2026-03-07,-0.3044149743199922
2026-03-07 13:38:19.514000+00:00,13,Saturday,2026-03-07,-0.379271792899984
2026-03-07 13:38:07.841000+00:00,13,Saturday,2026-03-07,-0.270009616464009
2026-03-07 13:40:30.167000+00:00,13,Saturday,2026-03-07,-0.7862895898799791
2026-03-07 13:40:20.508000+00:00,13,Saturday,2026-03-07,-0.1424098259167857
2026-03-07 13:38:46.885000+00:00,13,Saturday,2026-03-07,-0.188337199999984
2026-03-07 13:40:25.078000+00:00,13,Saturday,2026-03-07,-0.40202042908800073
2026-03-07 13:43:26.644000+00:00,13,Saturday,2026-03-07,-0.20006078060799207
2026-03-07 13:43:59.512000+00:00,13,Saturday,2026-03-07,-0.16045245035519415
2026-03-07 13:42:11.810000+00:00,13,Saturday,2026-03-07,-1.3091933737063077
2026-03-07 13:42:11.810000+00:00,13,Saturday,2026-03-07,-0.19452598060801363
2026-03-07 13:42:37.610000+00:00,13,Saturday,2026-03-07,-0.2134791820479774
2026-03-07 13:44:34.215000+00:00,13,Saturday,2026-03-07,-0.13612027822077077
2026-03-07 13:42:21.486000+00:00,13,Saturday,2026-03-07,-0.395036445935994
2026-03-07 13:43:05.052000+00:00,13,Saturday,2026-03-07,-0.4791274680815889
2026-03-07 13:46:01.429000+00:00,13,Saturday,2026-03-07,-0.16036797039357914
2026-03-07 13:45:27.633000+00:00,13,Saturday,2026-03-07,-0.44452943897599084
2026-03-07 13:46:26.660000+00:00,13,Saturday,2026-03-07,-0.13743783959359696
2026-03-07 13:43:05.052000+00:00,13,Saturday,2026-03-07,-0.29899636422398274
2026-03-07 13:45:30.670000+00:00,13,Saturday,2026-03-07,-0.4753166448800029
2026-03-07 13:45:02.545000+00:00,13,Saturday,2026-03-07,-0.18036809445598856
2026-03-07 13:46:06.589000+00:00,13,Saturday,2026-03-07,-0.19277207942243596
2026-03-07 13:45:30.670000+00:00,13,Saturday,2026-03-07,-0.2550451951520015
2026-03-07 13:48:09.411000+00:00,13,Saturday,2026-03-07,-0.18449807815034186
2026-03-07 13:45:55.321000+00:00,13,Saturday,2026-03-07,-0.2927023999999751
2026-03-07 13:47:28.483000+00:00,13,Saturday,2026-03-07,-0.18279847539998362
2026-03-07 13:46:34.935000+00:00,13,Saturday,2026-03-07,-0.3616917623000101
2026-03-07 13:49:04.147000+00:00,13,Saturday,2026-03-07,-0.16671980601602793
2026-03-07 13:48:08.789000+00:00,13,Saturday,2026-03-07,-0.18426107523358637
2026-03-07 13:48:08.789000+00:00,13,Saturday,2026-03-07,-0.24502449124001652
2026-03-07 13:50:10.125000+00:00,13,Saturday,2026-03-07,-0.1206289878815585
2026-03-07 13:48:34.469000+00:00,13,Saturday,2026-03-07,-0.3561058193919776
2026-03-07 13:48:43.225000+00:00,13,Saturday,2026-03-07,-0.48198306662398954
2026-03-07 13:51:45.375000+00:00,13,Saturday,2026-03-07,-0.06553236678398695
2026-03-07 13:51:14.240000+00:00,13,Saturday,2026-03-07,-0.1313937425231786
2026-03-07 13:49:29.152000+00:00,13,Saturday,2026-03-07,-0.36723701967997624
2026-03-07 13:49:36.857000+00:00,13,Saturday,2026-03-07,-0.2716752940719893
2026-03-07 13:53:14.849000+00:00,13,Saturday,2026-03-07,-0.2044388399999908
2026-03-07 13:52:40.406000+00:00,13,Saturday,2026-03-07,-0.15630296427358015
2026-03-07 13:51:38.730000+00:00,13,Saturday,2026-03-07,-0.387309446999965
2026-03-07 13:51:14.240000+00:00,13,Saturday,2026-03-07,-0.17187847371997428
2026-03-07 13:54:41.040000+00:00,13,Saturday,2026-03-07,-0.1519499344048324
2026-03-07 13:53:46.285000+00:00,13,Saturday,2026-03-07,0.08939477519199229
2026-03-07 13:56:41.975000+00:00,13,Saturday,2026-03-07,-0.22250786017595525
2026-03-07 13:54:37.980000+00:00,13,Saturday,2026-03-07,-0.25187687644000023
2026-03-07 13:55:15.546000+00:00,13,Saturday,2026-03-07,-0.18755549603998728
2026-03-07 13:58:16.379000+00:00,13,Saturday,2026-03-07,-0.14657776440479608
2026-03-07 13:58:46.813000+00:00,13,Saturday,2026-03-07,-0.17313446831999904
2026-03-07 13:57:03.271000+00:00,13,Saturday,2026-03-07,-0.32201919112799327
2026-03-07 13:57:29.389000+00:00,13,Saturday,2026-03-07,-0.4573800431999732
2026-03-07 14:00:01.230000+00:00,14,Saturday,2026-03-07,-0.13341596543998135
2026-03-07 13:58:46.291000+00:00,13,Saturday,2026-03-07,-0.18915117062398762
2026-03-07 13:57:59.731000+00:00,13,Saturday,2026-03-07,0.3970776701360031
2026-03-07 13:59:36.331000+00:00,13,Saturday,2026-03-07,-0.12743566444798304
2026-03-07 14:00:18.071000+00:00,14,Saturday,2026-03-07,-0.42366965088960207
2026-03-07 14:00:50.334000+00:00,14,Saturday,2026-03-07,-0.8167489229087921
2026-03-07 14:02:02.235000+00:00,14,Saturday,2026-03-07,-0.09635085667998594
