score,score_bucket,trade_count,winrate,expectancy,profit_factor
score_C,0-0.2,0,,,
score_C,0.2-0.4,130,0.023076923076923078,-0.336727123866663,0.058372234973513064
score_C,0.4-0.6,169,0.047337278106508875,-0.4349480364377987,0.06980723991685304
score_C,0.6-0.8,18,0.0,-0.9014994163837486,0.0
score_C,0.8-1.0,0,,,
score_S,0-0.2,2059,0.021855269548324428,-0.39753491696182136,0.024077796546732633
score_S,0.2-0.4,0,,,
score_S,0.4-0.6,0,,,
score_S,0.6-0.8,0,,,
score_S,0.8-1.0,0,,,
score_H,0-0.2,0,,,
score_H,0.2-0.4,0,,,
score_H,0.4-0.6,2059,0.021855269548324428,-0.39753491696182136,0.024077796546732633
score_H,0.6-0.8,0,,,
score_H,0.8-1.0,0,,,
